sample_index,angle_deg,occurrence_a,solid_index_a,variant_a,part_number_a,occurrence_b,solid_index_b,variant_b,part_number_b,aabb_overlap,aabb_gap_mm,exact_common_status,common_volume_mm3,documented_positive_volume_exception,intentional_fit_exception_id,exact_distance_status,exact_clearance_mm,result,error
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,3.57968577120716,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-1,1,STOWED,DF8-R2-STOW-DOG-001,True,0.0,DONE,20.98291944428241,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-KEEPER-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,True,0.0,DONE,0.09889784985933729,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-PIN-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,2.3905962236866913,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-SPRING-1,1,DEPLOYED,DF8-R2-STOW-DOG-RETURN-SPRING-001,True,0.0,DONE,0.002225764762253373,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,3.5796856220506097,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-2,1,STOWED,DF8-R2-STOW-DOG-001,True,0.0,DONE,20.982919444283205,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-KEEPER-2,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,True,0.0,DONE,0.09889784985820596,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-PIN-2,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,2.3905962198967003,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-2,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-SPRING-2,1,DEPLOYED,DF8-R2-STOW-DOG-RETURN-SPRING-001,True,0.0,DONE,0.0022257647624014743,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-3,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,3.5796851620509478,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-3,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-3,1,STOWED,DF8-R2-STOW-DOG-001,True,0.0,DONE,20.98291944428257,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-3,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-KEEPER-3,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,True,0.0,DONE,0.09889784985912453,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-3,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-PIN-3,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,2.390596241059836,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-3,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-SPRING-3,1,DEPLOYED,DF8-R2-STOW-DOG-RETURN-SPRING-001,True,0.0,DONE,0.002225764762246733,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-COLLECTION-LINE-1,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,GS19-PIN-MOVING,1,STOWED,DF8-R2-ACTUATOR-PIN-004,True,0.0,DONE,2.7733880207075083,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-COLLECTION-LINE-2,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,HBD-PIN-MOVING,1,STOWED,DF8-R2-ACTUATOR-PIN-004,True,0.0,DONE,1.739131797348654,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,FULLFLOW-VALVE-001,1,STOWED,DF8-R2-FULLFLOW-VALVE-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,5.274151981606967,True,FIT-CIRCLIP-FULLFLOW,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,GS19-CLIP-MOVING,1,STOWED,DF8-R2-ACTUATOR-E-RING-004,GS19-PIN-MOVING,1,STOWED,DF8-R2-ACTUATOR-PIN-004,True,0.0,DONE,0.1133538920275026,True,FIT-ACTUATOR-RETAINER-GS19-MOVING,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,HBD-CLIP-MOVING,1,STOWED,DF8-R2-ACTUATOR-E-RING-004,HBD-PIN-MOVING,1,STOWED,DF8-R2-ACTUATOR-PIN-004,True,0.0,DONE,0.11335389202597562,True,FIT-ACTUATOR-RETAINER-HBD-MOVING,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,STOW-DOG-INHIBIT-KEEPER-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,STOW-DOG-INHIBIT-PIN-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,0.016171224238066086,True,FIT-STOW-INHIBIT-KEEPER-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,STOW-DOG-INHIBIT-KEEPER-2,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,STOW-DOG-INHIBIT-PIN-2,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,0.016171224251215005,True,FIT-STOW-INHIBIT-KEEPER-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
